from,to,weight
4672312992,4672313472,1.0
4672313280,4672313184,1.0
4672313280,4672313472,1.0
4672313184,4672313376,1.0
4672313184,4672313664,1.0
4672313472,4672313376,1.0
4672313472,4672313664,1.0
4672313376,4672312752,1.0
4672313376,4672312896,1.0
4672313664,4672312752,1.0
4672313664,4672312896,1.0
4672314960,4672315008,1.0
4672314960,4672315296,1.0
4672315104,4672315008,1.0
4672315104,4672315296,1.0
4672315008,4672315200,1.0
4672315008,4672327840,1.0
4672315296,4672315200,1.0
4672315296,4672327840,1.0
4672315200,4672327744,1.0
4672315200,4672328032,1.0
4672327840,4672327744,1.0
4672327840,4672328032,1.0
4672327744,4672327936,1.0
4672327744,4672328224,1.0
4672328032,4672327936,1.0
4672328032,4672328224,1.0
4672327936,4672314960,1.0
4672327936,4672315104,1.0
4672328224,4672314960,1.0
4672328224,4672315104,1.0
4672329520,4672329568,1.0
4672329520,4672329856,1.0
4672329664,4672329568,1.0
4672329664,4672329856,1.0
4672329568,4672329760,1.0
4672329568,4672330048,1.0
4672329856,4672329760,1.0
4672329856,4672330048,1.0
4672329760,4672329952,1.0
4672329760,4672330240,1.0
4672330048,4672329952,1.0
4672330048,4672330240,1.0
4672329952,4672330144,1.0
4672329952,4672330432,1.0
4672330240,4672330144,1.0
4672330240,4672330432,1.0
4672330144,4672329520,1.0
4672330144,4672329664,1.0
4672330432,4672329520,1.0
4672330432,4672329664,1.0
4672183504,4672181296,0.4
4672183504,4672183168,0.2
4672183696,4672181488,0.4
4672183696,4672183168,0.2
4672183600,4672181296,0.4
4672183600,4672183168,0.2
4672183888,4672181488,0.4
4672183888,4672183168,0.2
4672183792,4672181296,0.4
4672183792,4672183168,0.2
4672184080,4672181488,0.4
4672184080,4672183168,0.2
4672183984,4672181296,0.4
4672183984,4672183168,0.2
4672184272,4672181488,0.4
4672184272,4672183168,0.2
4672184176,4672181296,0.4
4672184176,4672183168,0.2
4672254160,4672181488,0.4
4672254160,4672183168,0.2
4672183168,4672183504,-10.0
4672183168,4672183696,-10.0
4672183168,4672183600,-10.0
4672183168,4672183888,-10.0
4672183168,4672183792,-10.0
4672183168,4672184080,-10.0
4672183168,4672183984,-10.0
4672183168,4672184272,-10.0
4672183168,4672184176,-10.0
4672183168,4672254160,-10.0
4672183168,4672255072,-10.0
4672182352,4672254064,0.4
4672182352,4672254256,0.2
4672182496,4672254400,0.4
4672182496,4672254256,0.2
4672182400,4672254064,0.4
4672182400,4672254256,0.2
4672182688,4672254400,0.4
4672182688,4672254256,0.2
4672182592,4672254064,0.4
4672182592,4672254256,0.2
4672182880,4672254400,0.4
4672182880,4672254256,0.2
4672182784,4672254064,0.4
4672182784,4672254256,0.2
4672183072,4672254400,0.4
4672183072,4672254256,0.2
4672182976,4672254064,0.4
4672182976,4672254256,0.2
4672183264,4672254400,0.4
4672183264,4672254256,0.2
4672254256,4672182352,-10.0
4672254256,4672182496,-10.0
4672254256,4672182400,-10.0
4672254256,4672182688,-10.0
4672254256,4672182592,-10.0
4672254256,4672182880,-10.0
4672254256,4672182784,-10.0
4672254256,4672183072,-10.0
4672254256,4672182976,-10.0
4672254256,4672183264,-10.0
4672254256,4672181344,-10.0
4672181296,4672254064,0.4
4672181296,4672254256,0.2
4672181488,4672254400,0.4
4672181488,4672254256,0.2
4672181392,4672254064,0.4
4672181392,4672254256,0.2
4672181680,4672254400,0.4
4672181680,4672254256,0.2
4672181584,4672254064,0.4
4672181584,4672254256,0.2
4672181872,4672254400,0.4
4672181872,4672254256,0.2
4672181776,4672254064,0.4
4672181776,4672254256,0.2
4672182064,4672254400,0.4
4672182064,4672254256,0.2
4672181968,4672254064,0.4
4672181968,4672254256,0.2
4672182256,4672254400,0.4
4672182256,4672254256,0.2
4672254256,4672181296,-10.0
4672254256,4672181488,-10.0
4672254256,4672181392,-10.0
4672254256,4672181680,-10.0
4672254256,4672181584,-10.0
4672254256,4672181872,-10.0
4672254256,4672181776,-10.0
4672254256,4672182064,-10.0
4672254256,4672181968,-10.0
4672254256,4672182256,-10.0
4672254256,4672183168,-10.0
4672254064,4672181296,0.4
4672254064,4672183168,0.2
4672254400,4672181488,0.4
4672254400,4672183168,0.2
4672254304,4672181296,0.4
4672254304,4672183168,0.2
4672254592,4672181488,0.4
4672254592,4672183168,0.2
4672254496,4672181296,0.4
4672254496,4672183168,0.2
4672254784,4672181488,0.4
4672254784,4672183168,0.2
4672254688,4672181296,0.4
4672254688,4672183168,0.2
4672254976,4672181488,0.4
4672254976,4672183168,0.2
4672254880,4672181296,0.4
4672254880,4672183168,0.2
4672255168,4672181488,0.4
4672255168,4672183168,0.2
4672183168,4672254064,-10.0
4672183168,4672254400,-10.0
4672183168,4672254304,-10.0
4672183168,4672254592,-10.0
4672183168,4672254496,-10.0
4672183168,4672254784,-10.0
4672183168,4672254688,-10.0
4672183168,4672254976,-10.0
4672183168,4672254880,-10.0
4672183168,4672255168,-10.0
4672183168,4672254256,-10.0
4672255408,4672183504,0.4
4672255408,4672255072,0.2
4672255600,4672183696,0.4
4672255600,4672255072,0.2
4672255504,4672183504,0.4
4672255504,4672255072,0.2
4672255792,4672183696,0.4
4672255792,4672255072,0.2
4672255696,4672183504,0.4
4672255696,4672255072,0.2
4672255984,4672183696,0.4
4672255984,4672255072,0.2
4672255888,4672183504,0.4
4672255888,4672255072,0.2
4672256176,4672183696,0.4
4672256176,4672255072,0.2
4672256080,4672183504,0.4
4672256080,4672255072,0.2
4672256368,4672183696,0.4
4672256368,4672255072,0.2
4672255072,4672255408,-10.0
4672255072,4672255600,-10.0
4672255072,4672255504,-10.0
4672255072,4672255792,-10.0
4672255072,4672255696,-10.0
4672255072,4672255984,-10.0
4672255072,4672255888,-10.0
4672255072,4672256176,-10.0
4672255072,4672256080,-10.0
4672255072,4672256368,-10.0
4672255072,4672257280,-10.0
4672254064,4672256464,0.4
4672254064,4672255456,0.2
4672254400,4672256608,0.4
4672254400,4672255456,0.2
4672254304,4672256464,0.4
4672254304,4672255456,0.2
4672254592,4672256608,0.4
4672254592,4672255456,0.2
4672254496,4672256464,0.4
4672254496,4672255456,0.2
4672254784,4672256608,0.4
4672254784,4672255456,0.2
4672254688,4672256464,0.4
4672254688,4672255456,0.2
4672254976,4672256608,0.4
4672254976,4672255456,0.2
4672254880,4672256464,0.4
4672254880,4672255456,0.2
4672255168,4672256608,0.4
4672255168,4672255456,0.2
4672255456,4672254064,-10.0
4672255456,4672254400,-10.0
4672255456,4672254304,-10.0
4672255456,4672254592,-10.0
4672255456,4672254496,-10.0
4672255456,4672254784,-10.0
4672255456,4672254688,-10.0
4672255456,4672254976,-10.0
4672255456,4672254880,-10.0
4672255456,4672255168,-10.0
4672255456,4672254256,-10.0
4672183504,4672256464,0.4
4672183504,4672255456,0.2
4672183696,4672256608,0.4
4672183696,4672255456,0.2
4672183600,4672256464,0.4
4672183600,4672255456,0.2
4672183888,4672256608,0.4
4672183888,4672255456,0.2
4672183792,4672256464,0.4
4672183792,4672255456,0.2
4672184080,4672256608,0.4
4672184080,4672255456,0.2
4672183984,4672256464,0.4
4672183984,4672255456,0.2
4672184272,4672256608,0.4
4672184272,4672255456,0.2
4672184176,4672256464,0.4
4672184176,4672255456,0.2
4672254160,4672256608,0.4
4672254160,4672255456,0.2
4672255456,4672183504,-10.0
4672255456,4672183696,-10.0
4672255456,4672183600,-10.0
4672255456,4672183888,-10.0
4672255456,4672183792,-10.0
4672255456,4672184080,-10.0
4672255456,4672183984,-10.0
4672255456,4672184272,-10.0
4672255456,4672184176,-10.0
4672255456,4672254160,-10.0
4672255456,4672255072,-10.0
4672256464,4672183504,0.4
4672256464,4672255072,0.2
4672256608,4672183696,0.4
4672256608,4672255072,0.2
4672256512,4672183504,0.4
4672256512,4672255072,0.2
4672256800,4672183696,0.4
4672256800,4672255072,0.2
4672256704,4672183504,0.4
4672256704,4672255072,0.2
4672256992,4672183696,0.4
4672256992,4672255072,0.2
4672256896,4672183504,0.4
4672256896,4672255072,0.2
4672257184,4672183696,0.4
4672257184,4672255072,0.2
4672257088,4672183504,0.4
4672257088,4672255072,0.2
4672257376,4672183696,0.4
4672257376,4672255072,0.2
4672255072,4672256464,-10.0
4672255072,4672256608,-10.0
4672255072,4672256512,-10.0
4672255072,4672256800,-10.0
4672255072,4672256704,-10.0
4672255072,4672256992,-10.0
4672255072,4672256896,-10.0
4672255072,4672257184,-10.0
4672255072,4672257088,-10.0
4672255072,4672257376,-10.0
4672255072,4672255456,-10.0
4672257616,4672255408,0.4
4672257616,4672257280,0.2
4672257808,4672255600,0.4
4672257808,4672257280,0.2
4672257712,4672255408,0.4
4672257712,4672257280,0.2
4672258000,4672255600,0.4
4672258000,4672257280,0.2
4672257904,4672255408,0.4
4672257904,4672257280,0.2
4672270544,4672255600,0.4
4672270544,4672257280,0.2
4672270448,4672255408,0.4
4672270448,4672257280,0.2
4672270736,4672255600,0.4
4672270736,4672257280,0.2
4672270640,4672255408,0.4
4672270640,4672257280,0.2
4672270928,4672255600,0.4
4672270928,4672257280,0.2
4672257280,4672257616,-10.0
4672257280,4672257808,-10.0
4672257280,4672257712,-10.0
4672257280,4672258000,-10.0
4672257280,4672257904,-10.0
4672257280,4672270544,-10.0
4672257280,4672270448,-10.0
4672257280,4672270736,-10.0
4672257280,4672270640,-10.0
4672257280,4672270928,-10.0
4672257280,4672271840,-10.0
4672256464,4672270832,0.4
4672256464,4672271024,0.2
4672256608,4672271168,0.4
4672256608,4672271024,0.2
4672256512,4672270832,0.4
4672256512,4672271024,0.2
4672256800,4672271168,0.4
4672256800,4672271024,0.2
4672256704,4672270832,0.4
4672256704,4672271024,0.2
4672256992,4672271168,0.4
4672256992,4672271024,0.2
4672256896,4672270832,0.4
4672256896,4672271024,0.2
4672257184,4672271168,0.4
4672257184,4672271024,0.2
4672257088,4672270832,0.4
4672257088,4672271024,0.2
4672257376,4672271168,0.4
4672257376,4672271024,0.2
4672271024,4672256464,-10.0
4672271024,4672256608,-10.0
4672271024,4672256512,-10.0
4672271024,4672256800,-10.0
4672271024,4672256704,-10.0
4672271024,4672256992,-10.0
4672271024,4672256896,-10.0
4672271024,4672257184,-10.0
4672271024,4672257088,-10.0
4672271024,4672257376,-10.0
4672271024,4672255456,-10.0
4672255408,4672270832,0.4
4672255408,4672271024,0.2
4672255600,4672271168,0.4
4672255600,4672271024,0.2
4672255504,4672270832,0.4
4672255504,4672271024,0.2
4672255792,4672271168,0.4
4672255792,4672271024,0.2
4672255696,4672270832,0.4
4672255696,4672271024,0.2
4672255984,4672271168,0.4
4672255984,4672271024,0.2
4672255888,4672270832,0.4
4672255888,4672271024,0.2
4672256176,4672271168,0.4
4672256176,4672271024,0.2
4672256080,4672270832,0.4
4672256080,4672271024,0.2
4672256368,4672271168,0.4
4672256368,4672271024,0.2
4672271024,4672255408,-10.0
4672271024,4672255600,-10.0
4672271024,4672255504,-10.0
4672271024,4672255792,-10.0
4672271024,4672255696,-10.0
4672271024,4672255984,-10.0
4672271024,4672255888,-10.0
4672271024,4672256176,-10.0
4672271024,4672256080,-10.0
4672271024,4672256368,-10.0
4672271024,4672257280,-10.0
4672270832,4672255408,0.4
4672270832,4672257280,0.2
4672271168,4672255600,0.4
4672271168,4672257280,0.2
4672271072,4672255408,0.4
4672271072,4672257280,0.2
4672271360,4672255600,0.4
4672271360,4672257280,0.2
4672271264,4672255408,0.4
4672271264,4672257280,0.2
4672271552,4672255600,0.4
4672271552,4672257280,0.2
4672271456,4672255408,0.4
4672271456,4672257280,0.2
4672271744,4672255600,0.4
4672271744,4672257280,0.2
4672271648,4672255408,0.4
4672271648,4672257280,0.2
4672271936,4672255600,0.4
4672271936,4672257280,0.2
4672257280,4672270832,-10.0
4672257280,4672271168,-10.0
4672257280,4672271072,-10.0
4672257280,4672271360,-10.0
4672257280,4672271264,-10.0
4672257280,4672271552,-10.0
4672257280,4672271456,-10.0
4672257280,4672271744,-10.0
4672257280,4672271648,-10.0
4672257280,4672271936,-10.0
4672257280,4672271024,-10.0
4672272176,4672257616,0.4
4672272176,4672271840,0.2
4672272368,4672257808,0.4
4672272368,4672271840,0.2
4672272272,4672257616,0.4
4672272272,4672271840,0.2
4672272560,4672257808,0.4
4672272560,4672271840,0.2
4672272464,4672257616,0.4
4672272464,4672271840,0.2
4672272752,4672257808,0.4
4672272752,4672271840,0.2
4672272656,4672257616,0.4
4672272656,4672271840,0.2
4672272944,4672257808,0.4
4672272944,4672271840,0.2
4672272848,4672257616,0.4
4672272848,4672271840,0.2
4672273136,4672257808,0.4
4672273136,4672271840,0.2
4672271840,4672272176,-10.0
4672271840,4672272368,-10.0
4672271840,4672272272,-10.0
4672271840,4672272560,-10.0
4672271840,4672272464,-10.0
4672271840,4672272752,-10.0
4672271840,4672272656,-10.0
4672271840,4672272944,-10.0
4672271840,4672272848,-10.0
4672271840,4672273136,-10.0
4672271840,4672274048,-10.0
4672270832,4672273232,0.4
4672270832,4672272224,0.2
4672271168,4672273376,0.4
4672271168,4672272224,0.2
4672271072,4672273232,0.4
4672271072,4672272224,0.2
4672271360,4672273376,0.4
4672271360,4672272224,0.2
4672271264,4672273232,0.4
4672271264,4672272224,0.2
4672271552,4672273376,0.4
4672271552,4672272224,0.2
4672271456,4672273232,0.4
4672271456,4672272224,0.2
4672271744,4672273376,0.4
4672271744,4672272224,0.2
4672271648,4672273232,0.4
4672271648,4672272224,0.2
4672271936,4672273376,0.4
4672271936,4672272224,0.2
4672272224,4672270832,-10.0
4672272224,4672271168,-10.0
4672272224,4672271072,-10.0
4672272224,4672271360,-10.0
4672272224,4672271264,-10.0
4672272224,4672271552,-10.0
4672272224,4672271456,-10.0
4672272224,4672271744,-10.0
4672272224,4672271648,-10.0
4672272224,4672271936,-10.0
4672272224,4672271024,-10.0
4672257616,4672273232,0.4
4672257616,4672272224,0.2
4672257808,4672273376,0.4
4672257808,4672272224,0.2
4672257712,4672273232,0.4
4672257712,4672272224,0.2
4672258000,4672273376,0.4
4672258000,4672272224,0.2
4672257904,4672273232,0.4
4672257904,4672272224,0.2
4672270544,4672273376,0.4
4672270544,4672272224,0.2
4672270448,4672273232,0.4
4672270448,4672272224,0.2
4672270736,4672273376,0.4
4672270736,4672272224,0.2
4672270640,4672273232,0.4
4672270640,4672272224,0.2
4672270928,4672273376,0.4
4672270928,4672272224,0.2
4672272224,4672257616,-10.0
4672272224,4672257808,-10.0
4672272224,4672257712,-10.0
4672272224,4672258000,-10.0
4672272224,4672257904,-10.0
4672272224,4672270544,-10.0
4672272224,4672270448,-10.0
4672272224,4672270736,-10.0
4672272224,4672270640,-10.0
4672272224,4672270928,-10.0
4672272224,4672271840,-10.0
4672273232,4672257616,0.4
4672273232,4672271840,0.2
4672273376,4672257808,0.4
4672273376,4672271840,0.2
4672273280,4672257616,0.4
4672273280,4672271840,0.2
4672273568,4672257808,0.4
4672273568,4672271840,0.2
4672273472,4672257616,0.4
4672273472,4672271840,0.2
4672273760,4672257808,0.4
4672273760,4672271840,0.2
4672273664,4672257616,0.4
4672273664,4672271840,0.2
4672273952,4672257808,0.4
4672273952,4672271840,0.2
4672273856,4672257616,0.4
4672273856,4672271840,0.2
4672274144,4672257808,0.4
4672274144,4672271840,0.2
4672271840,4672273232,-10.0
4672271840,4672273376,-10.0
4672271840,4672273280,-10.0
4672271840,4672273568,-10.0
4672271840,4672273472,-10.0
4672271840,4672273760,-10.0
4672271840,4672273664,-10.0
4672271840,4672273952,-10.0
4672271840,4672273856,-10.0
4672271840,4672274144,-10.0
4672271840,4672272224,-10.0
4672274384,4672272176,0.4
4672274384,4672274048,0.2
4672291024,4672272368,0.4
4672291024,4672274048,0.2
4672290928,4672272176,0.4
4672290928,4672274048,0.2
4672291216,4672272368,0.4
4672291216,4672274048,0.2
4672291120,4672272176,0.4
4672291120,4672274048,0.2
4672291408,4672272368,0.4
4672291408,4672274048,0.2
4672291312,4672272176,0.4
4672291312,4672274048,0.2
4672291600,4672272368,0.4
4672291600,4672274048,0.2
4672291504,4672272176,0.4
4672291504,4672274048,0.2
4672291792,4672272368,0.4
4672291792,4672274048,0.2
4672274048,4672274384,-10.0
4672274048,4672291024,-10.0
4672274048,4672290928,-10.0
4672274048,4672291216,-10.0
4672274048,4672291120,-10.0
4672274048,4672291408,-10.0
4672274048,4672291312,-10.0
4672274048,4672291600,-10.0
4672274048,4672291504,-10.0
4672274048,4672291792,-10.0
4672274048,4672292704,-10.0
4672273232,4672291888,0.4
4672273232,4672290880,0.2
4672273376,4672292032,0.4
4672273376,4672290880,0.2
4672273280,4672291888,0.4
4672273280,4672290880,0.2
4672273568,4672292032,0.4
4672273568,4672290880,0.2
4672273472,4672291888,0.4
4672273472,4672290880,0.2
4672273760,4672292032,0.4
4672273760,4672290880,0.2
4672273664,4672291888,0.4
4672273664,4672290880,0.2
4672273952,4672292032,0.4
4672273952,4672290880,0.2
4672273856,4672291888,0.4
4672273856,4672290880,0.2
4672274144,4672292032,0.4
4672274144,4672290880,0.2
4672290880,4672273232,-10.0
4672290880,4672273376,-10.0
4672290880,4672273280,-10.0
4672290880,4672273568,-10.0
4672290880,4672273472,-10.0
4672290880,4672273760,-10.0
4672290880,4672273664,-10.0
4672290880,4672273952,-10.0
4672290880,4672273856,-10.0
4672290880,4672274144,-10.0
4672290880,4672272224,-10.0
4672272176,4672291888,0.4
4672272176,4672290880,0.2
4672272368,4672292032,0.4
4672272368,4672290880,0.2
4672272272,4672291888,0.4
4672272272,4672290880,0.2
4672272560,4672292032,0.4
4672272560,4672290880,0.2
4672272464,4672291888,0.4
4672272464,4672290880,0.2
4672272752,4672292032,0.4
4672272752,4672290880,0.2
4672272656,4672291888,0.4
4672272656,4672290880,0.2
4672272944,4672292032,0.4
4672272944,4672290880,0.2
4672272848,4672291888,0.4
4672272848,4672290880,0.2
4672273136,4672292032,0.4
4672273136,4672290880,0.2
4672290880,4672272176,-10.0
4672290880,4672272368,-10.0
4672290880,4672272272,-10.0
4672290880,4672272560,-10.0
4672290880,4672272464,-10.0
